horizon,comparator,threshold,extra_correctly_flagged,extra_false_alarms,fewer_missed,d_precision,d_recall,d_f1,strict_win
within,Control,0.3,1759,338,1759,0.0007294527581255261,0.01644724539028314,0.022575311412565024,False
within,Control,0.4,2800,835,2800,0.0010145025673197194,0.026180947750308547,0.028547286317317955,False
within,Control,0.5,1533,-134,1533,0.0093277159246824,0.014334068893293916,0.013961128309970039,True
within,Control,0.6,1258,-1088,1258,0.012255393604603815,0.01176272581067428,0.012025555218942663,True
within,Control,0.7,2338,1218,2338,0.0034996529064790227,0.0218610913715076,0.01047551067874708,False
sameday,Control,0.3,285,-21,285,0.04717829307230814,0.028892944038929447,0.042070428687441486,True
sameday,Control,0.4,394,54,394,0.02518037405466611,0.039943227899432304,0.044765077456468017,False
sameday,Control,0.5,151,-267,151,0.03117927530098885,0.015308191403081928,0.021239408915553537,True
sameday,Control,0.6,111,-429,111,0.026293160930708215,0.011253041362530358,0.019402756367967844,True
sameday,Control,0.7,191,-269,191,0.015187396582745427,0.019363341443633497,0.01715499555895983,True
d1,Control,0.3,213,-9,213,0.03219585006602477,0.022233820459290177,0.03131466992144938,True
d1,Control,0.4,270,-26,270,0.02823041899903367,0.028183716075156573,0.032752191473084225,True
d1,Control,0.5,232,-238,232,0.03472062471147008,0.02421711899791229,0.028534498290480548,True
d1,Control,0.6,211,-290,211,0.02491802405191823,0.02202505219206674,0.02357512416031149,True
d1,Control,0.7,166,-283,166,0.01541725368282243,0.017327766179540793,0.01665198559586334,True
d7,Control,0.3,49,10,49,0.013392190765250223,0.014471352628470185,0.019897436318387696,False
d7,Control,0.4,80,36,80,0.00762563089752033,0.023626698168930926,0.024703917450306756,False
d7,Control,0.5,90,-16,90,0.020228799679251175,0.026580035440047223,0.02501895858014208,True
d7,Control,0.6,82,-64,82,0.01939532908704883,0.02421736562315424,0.02161401755861747,True
d7,Control,0.7,96,-51,96,0.0142756580389522,0.028352037802717,0.01925820342383533,True
within,DKT-F,0.3,-2439,-1645,-2439,0.034898624364655406,-0.022805475558215188,-0.027255712104804264,False
within,DKT-F,0.4,-3793,-3303,-3793,0.033930826518850155,-0.03546583386318586,-0.03013889600422498,False
within,DKT-F,0.5,-4542,-5181,-4542,0.028926025970626434,-0.04246923738639341,-0.023051392163934037,False
within,DKT-F,0.6,-4589,-7653,-4589,0.02680883149062152,-0.04290870329505936,-0.010279988290775477,False
within,DKT-F,0.7,-4208,-9750,-4208,0.01981891731793184,-0.03934622433332091,-0.0004691398086752452,False
sameday,DKT-F,0.3,357,166,357,-0.012240308553896129,0.03619221411192214,0.04940852006099042,False
sameday,DKT-F,0.4,147,29,147,0.007284269614690864,0.014902676399026815,0.016119894949303326,False
sameday,DKT-F,0.5,-290,-290,-290,0.008100620063370756,-0.029399837793998407,-0.016580470842576744,False
sameday,DKT-F,0.6,-709,-972,-709,0.01733140868124039,-0.07187753446877532,-0.021180049282628288,False
sameday,DKT-F,0.7,-909,-1694,-909,0.020807281415750056,-0.09215328467153283,-0.0101272840118255,False
d1,DKT-F,0.3,655,347,655,-0.030616123508891646,0.06837160751565761,0.09375282938130419,False
d1,DKT-F,0.4,451,339,451,-0.017902761649921772,0.047077244258872664,0.04536769045542621,False
d1,DKT-F,0.5,-100,-107,-100,0.003533490135282924,-0.01043841336116913,-0.005833997328474172,False
d1,DKT-F,0.6,-768,-1086,-768,0.020080733735363454,-0.08016701461377873,-0.02322381747742641,False
d1,DKT-F,0.7,-1100,-2180,-1100,0.028424759705617753,-0.1148225469728601,-0.01026191602808757,False
d7,DKT-F,0.3,291,185,291,-0.058435069144338825,0.08594211458948613,0.12266003098375317,False
d7,DKT-F,0.4,255,251,255,-0.04921380548803189,0.07531010041346725,0.07435713308712905,False
d7,DKT-F,0.5,31,24,31,0.00017150235068807973,0.009155345540460713,0.00620048256196537,False
d7,DKT-F,0.6,-228,-395,-228,0.021124806047498224,-0.067336089781453,-0.015187540560038792,False
d7,DKT-F,0.7,-372,-814,-372,0.028152093969728897,-0.10986414648552867,-0.006843805171362627,False
