horizon,comparator,threshold,extra_correctly_flagged,extra_false_alarms,fewer_missed,d_precision,d_recall,d_f1,strict_win
within,Control,0.3,1228,465,1228,-0.002329929290619037,0.006426392166918732,0.00776036721073986,False
within,Control,0.4,2128,1165,2128,-0.004296457205957727,0.011136288706191377,0.010453064829834713,False
within,Control,0.5,5266,3663,5266,-0.008356518403895175,0.027558127973122182,0.01991896639735946,False
within,Control,0.6,6988,6219,6988,-0.004754182110404015,0.03656973001826391,0.016757677522748926,False
within,Control,0.7,3379,3596,3379,-0.00017212020838630604,0.01768304489578043,0.004911141105369388,False
sameday,Control,0.3,21,2,21,0.01639712488769096,0.003912800447177192,0.007314532241973426,False
sameday,Control,0.4,68,42,68,-0.01648697214734951,0.012670020495621388,0.021173688436822186,False
sameday,Control,0.5,179,101,179,0.012594974761784838,0.03335196571641515,0.04415765483153547,False
sameday,Control,0.6,235,117,235,0.016003676470588257,0.04378610024222096,0.0338284924561012,False
sameday,Control,0.7,44,-45,44,0.004580735874193109,0.008198248555990273,0.00587757638635189,True
d1,Control,0.3,17,6,17,-0.024312714776632327,0.005274588892336337,0.00982235853374612,False
d1,Control,0.4,67,20,67,0.009577464788732448,0.02078808563450201,0.03577901678542171,False
d1,Control,0.5,114,59,114,0.00859124665435218,0.03537077257213775,0.047548287434625525,False
d1,Control,0.6,164,123,164,0.0084046072380064,0.050884269314303454,0.03649412002274405,False
d1,Control,0.7,68,79,68,0.0011208553643978214,0.02109835556934536,0.006513912557695289,False
d7,Control,0.3,7,3,7,-0.0035714285714285587,0.007936507936507929,0.01343926343926341,False
d7,Control,0.4,11,9,11,-0.025000000000000022,0.012471655328798181,0.01812812730702973,False
d7,Control,0.5,25,36,25,-0.04170338108305427,0.028344671201814053,0.027605969973332534,False
d7,Control,0.6,35,33,35,0.0017653539335536483,0.03968253968253965,0.024578345844322613,False
d7,Control,0.7,-2,33,-2,-0.010088142740979467,-0.0022675736961451642,-0.008749619901122996,False
within,DKT-F,0.3,1121,-89,1121,0.0058470804269403764,0.005866437800582963,0.007789760984534988,True
within,DKT-F,0.4,-1540,-1819,-1540,0.01157743057571059,-0.008059156300533277,-0.005812601256151018,False
within,DKT-F,0.5,-3472,-4168,-3472,0.014625669921139894,-0.01816973420483864,-0.00954820494767361,False
within,DKT-F,0.6,-2312,-4435,-2312,0.008572340184469396,-0.012099200887553896,-0.001635646341792918,False
within,DKT-F,0.7,2702,5533,2702,-0.004355080435237635,0.014140156054571973,0.000675886929809355,False
