horizon,comparator,threshold,extra_correctly_flagged,extra_false_alarms,fewer_missed,d_precision,d_recall,d_f1,strict_win
within,Control,0.3,2411,642,2411,-0.006250275804245198,0.023559876874969465,0.032758110791999806,False
within,Control,0.4,2982,779,2982,0.0034400938684298055,0.02913959056041432,0.033287442657395694,False
within,Control,0.5,1205,-377,1205,0.011358480264224702,0.01177505252357458,0.012670786878453133,True
within,Control,0.6,-52,-2741,-52,0.018580540568372106,-0.0005081350466604739,0.007671192147405748,False
within,Control,0.7,549,-2620,549,0.01204291256251211,0.005364733473396277,0.009778043967280992,True
sameday,Control,0.3,256,20,256,0.03406643731023906,0.027708626474726716,0.040857627356534865,False
sameday,Control,0.4,359,10,359,0.034817362094435866,0.03885701915791753,0.047071523978555685,False
sameday,Control,0.5,166,-242,166,0.036328006475222496,0.017967312479705566,0.024388015176545708,True
sameday,Control,0.6,-107,-754,-107,0.03926711321942744,-0.011581339971858395,0.014059122391125833,False
sameday,Control,0.7,19,-747,19,0.02708241867707417,0.0020564996211710485,0.020098100268478247,True
d1,Control,0.3,249,52,249,0.021364582992271952,0.026959722823733212,0.03771314943815077,False
d1,Control,0.4,368,4,368,0.036739676695958345,0.039844088349935025,0.046908846052335196,False
d1,Control,0.5,203,-295,203,0.041802674299083686,0.021979211779991348,0.02918700305683558,True
d1,Control,0.6,-29,-622,-29,0.03319157390932315,-0.0031398873971416608,0.015619171445597435,False
d1,Control,0.7,-7,-872,-7,0.029709607381303238,-0.000757903854482489,0.021157775630312292,False
d7,Control,0.3,104,12,104,0.03892408534913061,0.030869694271297127,0.04364867313048054,False
d7,Control,0.4,162,32,162,0.033670056843241425,0.04808548530721282,0.054916047538841994,False
d7,Control,0.5,111,4,111,0.02031765676567654,0.0329474621549421,0.030126494584032826,False
d7,Control,0.6,37,-170,37,0.029794842998995263,0.010982487384980755,0.020912165810125005,True
d7,Control,0.7,8,-170,8,0.01612577187780928,0.002374591867022824,0.012630193108447818,True
within,DKT-F,0.3,-3409,-1863,-3409,0.035775273705644484,-0.03331216103972248,-0.0412134646594996,False
within,DKT-F,0.4,-4669,-3523,-4669,0.03601601432724255,-0.0456246640934187,-0.04162970514784314,False
within,DKT-F,0.5,-4823,-4906,-4823,0.02863407396616957,-0.04712952557775929,-0.028830004990960056,False
within,DKT-F,0.6,-3045,-5360,-3045,0.022290313798150607,-0.029755215713099137,-0.006810721029576472,False
within,DKT-F,0.7,-685,-2380,-685,0.006742134032916458,-0.00669370205696973,0.0018835740856013583,False
sameday,DKT-F,0.3,305,98,305,0.007865343396973756,0.03301223076090487,0.047541979652751226,False
sameday,DKT-F,0.4,78,-5,78,0.008341629602648948,0.008442472129018302,0.010198555849914914,True
sameday,DKT-F,0.5,-150,-167,-150,0.007889401848965916,-0.016235523325035195,-0.009573667024765253,False
sameday,DKT-F,0.6,-337,-550,-337,0.017174995953127437,-0.03647580907024561,-0.009373908309245338,False
sameday,DKT-F,0.7,-470,-1016,-470,0.018403762183064665,-0.05087130641844362,-0.0023589354899309356,False
d1,DKT-F,0.3,602,336,602,-0.04071669586561044,0.06517973148549154,0.09142608001556174,False
d1,DKT-F,0.4,378,332,378,-0.026679781203891584,0.04092680814205282,0.039419326793892706,False
d1,DKT-F,0.5,63,150,63,-0.011041383533457627,0.006821134690342123,0.0016187606922216657,False
d1,DKT-F,0.6,-368,-352,-368,0.002669624318225705,-0.039844088349935025,-0.01781812338473876,False
d1,DKT-F,0.7,-605,-1273,-605,0.020796273737166526,-0.06550454742312695,-0.004710363925432892,False
d7,DKT-F,0.3,286,152,286,-0.00682252628401836,0.08489165924606708,0.12211894594471856,False
d7,DKT-F,0.4,251,159,251,-0.004015644935964735,0.0745028198278421,0.08006120056052857,False
d7,DKT-F,0.5,102,108,102,-0.008885404682775766,0.030276046304541393,0.019230123347527495,False
d7,DKT-F,0.6,-106,-120,-106,0.00392970216584454,-0.031463342238052805,-0.012595031964642622,False
d7,DKT-F,0.7,-204,-414,-204,0.01585245179436784,-0.060552092609082786,-0.005662648282000804,False
