statistic,value
count,15324.0
mean,68.2552029679932
std,134.37340750867378
min,0.0004568865740740741
25%,0.010312445023148147
50%,1.1729294675925925
75%,63.86478460648148
90%,243.69002092476856
95%,385.69843582812484
max,921.8967377083333
% learners with span >= 1 week(s),43.25241451318193
% learners with a GAP >= 1 week(s),37.45758287653354
% learners with span >= 2 week(s),38.834507961367784
% learners with a GAP >= 2 week(s),30.892717306186373
% learners with span >= 4 week(s),33.12451057165231
% learners with a GAP >= 4 week(s),24.07987470634299
% learners with span >= 8 week(s),26.527016444792483
% learners with a GAP >= 8 week(s),18.180631688854085
