horizon,comparator,threshold,extra_correctly_flagged,extra_false_alarms,fewer_missed,d_precision,d_recall,d_f1,strict_win
within,Control,0.3,2014,782,2014,-0.003336601522535454,0.010561810715990078,0.012271046542234099,False
within,Control,0.4,2995,1700,2995,-0.005418831564667714,0.01570636697834671,0.013919449567978914,False
within,Control,0.5,3979,2357,3979,-0.002549369978547378,0.020866655828661596,0.01481290424914905,False
within,Control,0.6,2085,-687,2085,0.0065328096409101866,0.010934148631002616,0.008703054898074103,True
within,Control,0.7,-1849,-8976,-1849,0.01126188917843568,-0.00969651837828478,0.005884293853905209,False
sameday,Control,0.3,35,20,35,-0.02710555989244512,0.0064874884151992565,0.011913995907543204,False
sameday,Control,0.4,124,57,124,0.004096286455367859,0.02298424467099166,0.03769076283202413,False
sameday,Control,0.5,175,60,175,0.024401093128069262,0.032437442075996276,0.04169709263550464,False
sameday,Control,0.6,23,-187,23,0.02370888631373208,0.004263206672845243,0.011956283530950296,True
sameday,Control,0.7,-119,-501,-119,0.014822307385873423,-0.02205746061167757,0.006012515036805555,False
d1,Control,0.3,35,11,35,-0.010526315789473717,0.011086474501108647,0.020191355528992636,False
d1,Control,0.4,72,14,72,0.03594465945994041,0.022806461830852068,0.037884330824349055,False
d1,Control,0.5,94,13,94,0.03156854457759428,0.02977510294583466,0.0391813098074959,False
d1,Control,0.6,11,-72,11,0.01657486158111271,0.003484320557491316,0.008676751969755592,True
d1,Control,0.7,-58,-248,-58,0.012230461414437677,-0.018371872030408576,0.005089945832570275,False
d7,Control,0.3,11,6,11,-0.020588235294117685,0.011891891891891888,0.020053243995094353,False
d7,Control,0.4,23,10,23,-0.0005780346820808413,0.02486486486486486,0.03636316991200386,False
d7,Control,0.5,25,15,25,0.002849544072948351,0.02702702702702703,0.028630450193561807,False
d7,Control,0.6,44,-19,44,0.03800814307944833,0.04756756756756758,0.04360310299076564,True
d7,Control,0.7,-11,-35,-11,0.006473132076610599,-0.011891891891891881,0.0018360713231189152,False
within,DKT-F,0.3,4288,1372,4288,-0.0030543635095833244,0.022487112388364178,0.0268743399551995,False
within,DKT-F,0.4,733,-348,733,0.00514115644474733,0.0038439956578057433,0.004626568540897769,True
within,DKT-F,0.5,-2976,-3972,-2976,0.013063595691533259,-0.015606727254610986,-0.00696185409668304,False
within,DKT-F,0.6,-2705,-5351,-2705,0.010173329045088941,-0.014185550142379877,-0.0015444326004199205,False
within,DKT-F,0.7,2358,4562,2358,-0.0037012545888934767,0.012365814135205877,0.0008988079223406498,False
sameday,DKT-F,0.3,25,12,25,-0.00962223806129714,0.004633920296570896,0.00850841214652457,False
sameday,DKT-F,0.4,-39,-63,-39,0.0390718205678835,-0.0072289156626506035,-0.010233463029800854,False
sameday,DKT-F,0.5,-205,-264,-205,0.03539913232227676,-0.037998146431881374,-0.03704819125921688,False
sameday,DKT-F,0.6,-405,-609,-405,0.018063605634368207,-0.07506950880444851,-0.0350236520717766,False
sameday,DKT-F,0.7,-146,-388,-146,0.00833906813498364,-0.027062094531974057,-0.0006026697429747374,False
d1,DKT-F,0.3,40,15,40,-0.02949183303085301,0.0126702565726956,0.02307908969658512,False
d1,DKT-F,0.4,-29,-17,-29,0.008992728367970382,-0.009185936015204302,-0.014209564019219884,False
d1,DKT-F,0.5,-151,-226,-151,0.06486759489348781,-0.047830218561925875,-0.04281848387568926,False
d1,DKT-F,0.6,-224,-467,-224,0.04075092874628117,-0.07095343680709532,-0.021580661561713232,False
d1,DKT-F,0.7,-95,-240,-95,0.007820923741411245,-0.030091859360152018,-0.0015379993678942272,False
d7,DKT-F,0.3,7,7,7,-0.045236122618061314,0.00756756756756756,0.01233051015944965,False
d7,DKT-F,0.4,9,-7,9,0.04445120508400102,0.009729729729729727,0.016021166553654265,True
d7,DKT-F,0.5,-45,-42,-45,0.015750654841229728,-0.04864864864864865,-0.0430648558967055,False
