horizon,comparator,threshold,extra_correctly_flagged,extra_false_alarms,fewer_missed,d_precision,d_recall,d_f1,strict_win
within,Control,0.3,3382,1206,3382,-0.0069578548004844976,0.017227941663398014,0.02702405026925017,False
within,Control,0.4,4206,1942,4206,-0.002299185239762025,0.021425405865243052,0.026418782794399243,False
within,Control,0.5,4282,2499,4282,5.4456147635550955e-05,0.02181255062172388,0.019212936348896703,False
within,Control,0.6,3216,1106,3216,0.0047689444660075075,0.016382336011084575,0.011268507586209564,False
within,Control,0.7,1438,-2307,1438,0.00651212363234982,0.007325186313414056,0.006999382645094032,True
sameday,Control,0.3,39,18,39,-0.008310249307479145,0.00991357397051347,0.016757745350701916,False
sameday,Control,0.4,63,22,63,0.006928354443414664,0.016014234875444844,0.02260439273666648,False
sameday,Control,0.5,104,9,104,0.020797556661016237,0.026436197254702587,0.029895254754295497,False
sameday,Control,0.6,92,-76,92,0.026071024370097007,0.02338586680223692,0.024715787237628684,True
sameday,Control,0.7,2,-181,2,0.015962371029328848,0.0005083884087443424,0.01092962999884839,True
d1,Control,0.3,70,11,70,0.026751025991792132,0.014507772020725396,0.025180222756543136,False
d1,Control,0.4,120,36,120,0.015537012266813921,0.024870466321243526,0.03588333334697014,False
d1,Control,0.5,146,27,146,0.01930739807701043,0.030259067357512937,0.03382902570116636,False
d1,Control,0.6,70,-93,70,0.021845398845233843,0.014507772020725396,0.01755948443290206,True
d1,Control,0.7,50,-199,50,0.018702996233479707,0.010362694300518172,0.016086715992556733,True
d7,Control,0.3,44,4,44,0.054917725615780344,0.01952951620062139,0.03423813488759367,False
d7,Control,0.4,44,7,44,0.019710448281876847,0.019529516200621377,0.028797335820889197,False
d7,Control,0.5,37,24,37,-0.002001102056204851,0.016422547714158908,0.0167684091800806,False
d7,Control,0.6,44,-10,44,0.014815978277357367,0.019529516200621377,0.018252278805741984,True
d7,Control,0.7,53,-46,53,0.017018425365656786,0.023524189968930354,0.019771798803469687,True
d28,Control,0.3,21,3,21,0.06964285714285712,0.020771513353115723,0.03701237955256305,False
d28,Control,0.4,29,4,29,0.04807084123972172,0.028684470820969338,0.04404912625205623,False
d28,Control,0.5,6,19,6,-0.024623461950225134,0.005934718100890191,0.00284211365935777,False
d28,Control,0.6,25,-6,25,0.020395232345451708,0.024727992087042516,0.024021592442645068,True
d28,Control,0.7,15,-45,15,0.023226574539223666,0.014836795252225476,0.020238440603975838,True
within,DKT-F,0.3,4136,421,4136,0.027774940326320663,0.02106882516848438,0.03394152582764323,False
within,DKT-F,0.4,3736,-668,3736,0.0299477307018986,0.019031221187006203,0.026166268091277867,True
within,DKT-F,0.5,3654,-1937,3654,0.025383977624350962,0.018613512370803165,0.022052181180056363,True
within,DKT-F,0.6,5161,-1188,5161,0.017087972265920737,0.026290185371022234,0.022274752455831548,True
within,DKT-F,0.7,6877,4878,6877,0.004853270137880061,0.03503150645156361,0.015370124268346164,False
sameday,DKT-F,0.3,59,8,59,0.03465430493527055,0.014997458057956277,0.025968459067164634,False
sameday,DKT-F,0.4,38,-20,38,0.03163981288981288,0.00965937976614134,0.015106300914827397,True
sameday,DKT-F,0.5,19,-134,19,0.05015803987914935,0.004829689883070698,0.01418935539894739,True
sameday,DKT-F,0.6,11,-205,11,0.03504671759098377,0.0027961362480935503,0.016230583665974796,True
sameday,DKT-F,0.7,-9,-290,-9,0.023912890320724134,-0.0022877478393492634,0.015452877394832365,False
d1,DKT-F,0.3,156,44,156,0.02614379084967322,0.03233160621761659,0.056969354078264964,False
d1,DKT-F,0.4,181,58,181,0.022656643986259772,0.03751295336787565,0.05477285509935653,False
d1,DKT-F,0.5,100,-53,100,0.03509746075383735,0.02072538860103626,0.026704101356722354,True
d1,DKT-F,0.6,-6,-285,-6,0.03940401302221819,-0.0012435233160622006,0.015104443873082962,False
d1,DKT-F,0.7,-88,-432,-88,0.024012649008829767,-0.018238341968911942,0.009783328572240624,False
d7,DKT-F,0.3,99,30,99,0.04031054045983873,0.04394141145139813,0.07863851788022404,False
d7,DKT-F,0.4,114,31,114,0.03634246491389348,0.05059920106524632,0.07618633215115872,False
d7,DKT-F,0.5,24,0,24,0.010000555586421433,0.01065246338215714,0.01255114111175959,True
d7,DKT-F,0.6,-16,-142,-16,0.04046631100573006,-0.007101642254771445,0.011136297760700242,False
d7,DKT-F,0.7,-60,-249,-60,0.029938674701028734,-0.026631158455392767,0.010310831092655293,False
d28,DKT-F,0.3,41,19,41,-0.08750000000000002,0.04055390702274975,0.07345346504021528,False
d28,DKT-F,0.4,54,20,54,0.04877112135176653,0.05341246290801187,0.08273875546688031,False
d28,DKT-F,0.5,18,-5,18,0.02793739979284615,0.017804154302670627,0.023030265197623745,True
d28,DKT-F,0.6,-33,-100,-33,0.04959592025112192,-0.03264094955489616,-0.0019003552838138815,False
d28,DKT-F,0.7,-36,-209,-36,0.0570059332187155,-0.035608308605341255,0.024995947001518082,False
within,DKVMN,0.3,1051,-110,1051,0.012507197718900409,0.005353804461333919,0.008666348099414023,True
within,DKVMN,0.4,-1628,-1883,-1628,0.014141925276287437,-0.00829304820461621,-0.008462350364585425,False
within,DKVMN,0.5,-2139,-3229,-2139,0.01150272105697292,-0.010896087290954592,-0.00639286465320954,False
within,DKVMN,0.6,1326,250,1326,0.0025837321295677507,0.006754657198600189,0.004902598988133278,False
within,DKVMN,0.7,4361,9234,4361,-0.007680021515912405,0.022214977408065884,0.00242082352781281,False
sameday,DKVMN,0.3,-48,14,-48,-0.05880991619622,-0.012201321809862734,-0.02121415765187594,False
sameday,DKVMN,0.4,-93,-6,-93,-0.027552569610840294,-0.023640061006609037,-0.03339896034733869,False
sameday,DKVMN,0.5,-92,-48,-92,-0.0022353709215074957,-0.02338586680223692,-0.02265896378342247,False
sameday,DKVMN,0.6,47,82,47,-0.008083975436983581,0.011947127605490604,0.004210764470701678,False
sameday,DKVMN,0.7,119,309,119,-0.01772932007332656,0.030249110320284767,2.6824828579852245e-05,False
d1,DKVMN,0.3,-8,7,-8,-0.01701739850869921,-0.0016580310880828925,-0.003023895675200186,False
d1,DKVMN,0.4,-64,20,-64,-0.03247954642490358,-0.013264248704663195,-0.020055063964241893,False
d1,DKVMN,0.5,-100,20,-100,-0.023145913049715472,-0.020725388601036288,-0.02442110889497584,False
d1,DKVMN,0.6,50,138,50,-0.01602144266474148,0.010362694300518116,0.0006411905564012166,False
d1,DKVMN,0.7,128,462,128,-0.027602757254861554,0.02652849740932639,-0.0069755643104840725,False
d7,DKVMN,0.3,5,23,5,-0.09404379298951726,0.0022192632046160593,0.002741535920726665,False
d7,DKVMN,0.4,19,23,19,-0.027330230337749173,0.00843320017754104,0.010637011357566839,False
d7,DKVMN,0.5,-1,30,-1,-0.02221104685273656,-0.00044385264092322574,-0.004003638011747523,False
d7,DKVMN,0.6,36,95,36,-0.02517207802597521,0.015978695073235683,0.002003270373534205,False
d7,DKVMN,0.7,110,222,110,-0.02251394003527063,0.0488237905015535,0.00629173500198843,False
d28,DKVMN,0.3,13,6,13,-0.008811475409836067,0.012858555885262114,0.022401740153494665,False
d28,DKVMN,0.4,10,18,10,-0.05294678099904726,0.009891196834817012,0.012226174217980057,False
d28,DKVMN,0.5,-12,32,-12,-0.06583552688669692,-0.011869436201780409,-0.022206548296576034,False
d28,DKVMN,0.6,9,36,9,-0.02443637808507204,0.008902077151335341,-0.0018608095242674816,False
d28,DKVMN,0.7,47,72,47,-0.01060982924445597,0.04648862512363994,0.0132705995898178,False
