seed,role,model,auc_within,rank_within,auc_mean_postgap,rank_postgap
s1,exploratory,PCDT,0.7614581179540123,1.0,0.6708039057734742,4.0
s1,exploratory,PCDT-noPsi,0.760308157161731,2.0,0.6740313486186345,3.0
s1,exploratory,DKT-F,0.7583164061721549,3.0,0.6766217273512876,2.0
s1,exploratory,DKT,0.7551675792315193,4.0,0.6683583393916415,6.0
s1,exploratory,DKVMN,0.7532182507263072,5.0,0.6707826706995185,5.0
s1,exploratory,Control,0.7493930458738074,6.0,0.6384403887405126,8.0
s1,exploratory,AKT,0.742009454066795,7.0,0.657172161563834,7.0
s1,exploratory,SAKT,0.7308047742136367,8.0,0.6777627141054947,1.0
s2,exploratory,PCDT,0.7603577960432573,1.0,0.6752777789954817,5.0
s2,exploratory,PCDT-noPsi,0.760020549514925,2.0,0.6765747316302149,3.0
s2,exploratory,DKT-F,0.7575664552239011,3.0,0.6804350058492497,1.0
s2,exploratory,DKT,0.7546127159381755,4.0,0.6741815918561724,6.0
s2,exploratory,DKVMN,0.7525896118645964,5.0,0.6760126123889375,4.0
s2,exploratory,Control,0.7475693220559825,6.0,0.6453503561720264,8.0
s2,exploratory,AKT,0.7418522726078083,7.0,0.655960169832228,7.0
s2,exploratory,SAKT,0.7322728250822741,8.0,0.6775827105758305,2.0
s3,CONFIRMATORY,PCDT-noPsi,0.7596694109377113,1.0,0.6720538856393565,1.0
s3,CONFIRMATORY,PCDT,0.7596675263239505,2.0,0.6668738845450009,5.0
s3,CONFIRMATORY,DKT-F,0.7588276010615262,3.0,0.6714034370579982,2.0
s3,CONFIRMATORY,DKT,0.7546622358433546,4.0,0.6663295396473395,6.0
s3,CONFIRMATORY,DKVMN,0.7515515775327813,5.0,0.6680376565016894,4.0
s3,CONFIRMATORY,Control,0.7470757289464711,6.0,0.6422441609650859,8.0
s3,CONFIRMATORY,AKT,0.7411829908049357,7.0,0.6509802945024115,7.0
s3,CONFIRMATORY,SAKT,0.730120693820879,8.0,0.6699115763374268,3.0
