seed,role,model,auc_within,rank_within,auc_mean_postgap,rank_postgap
s1,exploratory,PCDT-noPsi,0.7163138649791398,1.0,0.6487376419770539,2.0
s1,exploratory,PCDT,0.7155360114891027,2.0,0.6411736627360636,5.0
s1,exploratory,DKVMN,0.71436609443689,3.0,0.6492957612083664,1.0
s1,exploratory,DKT,0.7128549815572252,4.0,0.6416984357173814,4.0
s1,exploratory,DKT-F,0.7127900723698987,5.0,0.6345032335922268,6.0
s1,exploratory,SAKT,0.7086555165740346,6.0,0.6424636840971448,3.0
s1,exploratory,Control,0.7075573038830221,7.0,0.625672066017616,7.0
s1,exploratory,AKT,0.6937001068629014,8.0,0.6096121538265751,8.0
s2,exploratory,PCDT-noPsi,0.7158555390920861,1.0,0.645886461879541,1.0
s2,exploratory,PCDT,0.7147014253580648,2.0,0.6413543668659076,4.0
s2,exploratory,DKVMN,0.7140408513066246,3.0,0.643046905453925,3.0
s2,exploratory,DKT-F,0.7127230413834676,4.0,0.6351568105467329,5.0
s2,exploratory,DKT,0.7115415201191023,5.0,0.6321552976119255,6.0
s2,exploratory,SAKT,0.7084451214534845,6.0,0.6445666828199831,2.0
s2,exploratory,Control,0.7069923300836781,7.0,0.62587175770795,7.0
s2,exploratory,AKT,0.6926621777867397,8.0,0.6038092961714585,8.0
s3,CONFIRMATORY,PCDT-noPsi,0.7164338424359717,1.0,0.630664275736095,2.0
s3,CONFIRMATORY,PCDT,0.7150593219619277,2.0,0.6263787130837448,6.0
s3,CONFIRMATORY,DKVMN,0.7143942034390126,3.0,0.6378224092930367,1.0
s3,CONFIRMATORY,DKT,0.7130269355502898,4.0,0.628956209282058,4.0
s3,CONFIRMATORY,DKT-F,0.7128350203935042,5.0,0.6274018830098196,5.0
s3,CONFIRMATORY,SAKT,0.7083768670390186,6.0,0.6306077730079096,3.0
s3,CONFIRMATORY,Control,0.7073511545817375,7.0,0.6189788711871794,7.0
s3,CONFIRMATORY,AKT,0.6908342104706583,8.0,0.5985493042251755,8.0
