seed,role,model,auc_within,rank_within,auc_mean_postgap,rank_postgap
s1,exploratory,PCDT,0.7522030601834022,1.0,0.7245804771127866,3.0
s1,exploratory,PCDT-noPsi,0.7520629364317442,2.0,0.7270070277977734,2.0
s1,exploratory,DKVMN,0.7483865693302095,3.0,0.7341038124225315,1.0
s1,exploratory,Control,0.7453692404745473,4.0,0.7101369314338601,6.0
s1,exploratory,AKT,0.742209020138144,5.0,0.7243588716194836,4.0
s1,exploratory,DKT-F,0.7353654907036392,6.0,0.7003443654175595,7.0
s1,exploratory,DKT,0.733860174537431,7.0,0.7000985015559905,8.0
s1,exploratory,SAKT,0.730011407677232,8.0,0.7218629868870501,5.0
s2,exploratory,PCDT-noPsi,0.7493102357930297,1.0,0.722165505801939,2.0
s2,exploratory,PCDT,0.7490995356433774,2.0,0.7195818696991244,4.0
s2,exploratory,DKVMN,0.7464822602147982,3.0,0.7290436372535606,1.0
s2,exploratory,Control,0.7428797696669294,4.0,0.7032545131352365,6.0
s2,exploratory,AKT,0.7392677587161788,5.0,0.7201593263193979,3.0
s2,exploratory,DKT,0.7343005484205809,6.0,0.6970661221102393,8.0
s2,exploratory,DKT-F,0.7339458313582756,7.0,0.6991291102521052,7.0
s2,exploratory,SAKT,0.729109018289839,8.0,0.7159487911296708,5.0
s3,CONFIRMATORY,PCDT,0.7515704856753898,1.0,0.7319602699472134,3.0
s3,CONFIRMATORY,PCDT-noPsi,0.7511122498121889,2.0,0.7340201093609077,2.0
s3,CONFIRMATORY,DKVMN,0.7489041828780397,3.0,0.7407441501013228,1.0
s3,CONFIRMATORY,Control,0.7442901338614976,4.0,0.7162317049996392,6.0
s3,CONFIRMATORY,AKT,0.740954898152967,5.0,0.7265290736455396,4.0
s3,CONFIRMATORY,DKT-F,0.7356515779929335,6.0,0.7081327454287952,7.0
s3,CONFIRMATORY,DKT,0.7347603291961265,7.0,0.703177460288671,8.0
s3,CONFIRMATORY,SAKT,0.731070877271079,8.0,0.7239665436014396,5.0
