bucket,n,delta,ci_lo,ci_hi,p,sig,seed,role,comparison
within,673602,0.003816490853192689,0.002947438632497476,0.004715829044374201,0.0,True,s1,exploratory,PCDT - DKVMN
d1,15132,-0.0026380593872326052,-0.007046007111218833,0.001945620090184112,0.268,False,s1,exploratory,PCDT - DKVMN
d7,6490,-0.013278999712314055,-0.020294472241468266,-0.006492767495591712,0.001,True,s1,exploratory,PCDT - DKVMN
d28,3171,-0.012652946829687983,-0.023518587661860765,-0.002501236721038062,0.019,True,s1,exploratory,PCDT - DKVMN
within,676908,0.0026172754285791466,0.001665691217907586,0.003525103487843679,0.0,True,s2,exploratory,PCDT - DKVMN
d1,15063,-0.005964283723452257,-0.010618642877962079,-0.001166935128027891,0.017,True,s2,exploratory,PCDT - DKVMN
d7,6625,-0.008888518055781391,-0.016688470621396344,-0.0017898523365897064,0.016,True,s2,exploratory,PCDT - DKVMN
d28,3100,-0.013532500884075427,-0.024347613218367002,-0.0013776210183482963,0.024,True,s2,exploratory,PCDT - DKVMN
within,669904,0.0026663027973500286,0.0018791336001591137,0.003572371155830134,0.0,True,s3,CONFIRMATORY,PCDT - DKVMN
d1,15025,-0.010373280503911286,-0.014779930789097742,-0.006098116357208848,0.0,True,s3,CONFIRMATORY,PCDT - DKVMN
d7,6885,-0.007289120167544683,-0.01388428123915247,-0.0007487239477695334,0.034,True,s3,CONFIRMATORY,PCDT - DKVMN
d28,3251,-0.008689239790871883,-0.019480964439940372,0.0014872829576989064,0.089,False,s3,CONFIRMATORY,PCDT - DKVMN
