kind,run_id,dataset,seed,present,status,files,minutes,isolation_ok,fixture
RQ1,RQ1__assistments_2021__seed0,assistments_2021,20260202.0,True,complete,12,0.54,True,False
RQ1,RQ1__assistments_2021__seed1,assistments_2021,20260203.0,True,complete,12,0.55,True,False
RQ1,RQ1__assistments_2021__seed2,assistments_2021,20260204.0,True,complete,12,0.52,True,False
RQ1,RQ1__ednet_flat__seed0,ednet_flat,20260202.0,True,complete,12,0.57,True,False
RQ1,RQ1__ednet_flat__seed1,ednet_flat,20260203.0,True,complete,12,0.52,True,False
RQ1,RQ1__ednet_flat__seed2,ednet_flat,20260204.0,True,complete,12,0.53,True,False
RQ1,RQ1__junyi__seed0,junyi,20260202.0,True,complete,12,1.23,True,False
RQ1,RQ1__junyi__seed1,junyi,20260203.0,True,complete,12,1.13,True,False
RQ1,RQ1__junyi__seed2,junyi,20260204.0,True,complete,12,1.13,True,False
RQ2RQ3,RQ2RQ3__assistments_2021__seed0,assistments_2021,20260202.0,True,complete,32,95.11,True,False
RQ2RQ3,RQ2RQ3__assistments_2021__seed1,assistments_2021,20260203.0,True,complete,32,95.07,True,False
RQ2RQ3,RQ2RQ3__assistments_2021__seed2,assistments_2021,20260204.0,True,complete,32,98.12,True,False
RQ2RQ3,RQ2RQ3__ednet_flat__seed0,ednet_flat,20260202.0,True,complete,32,99.38,True,False
RQ2RQ3,RQ2RQ3__ednet_flat__seed1,ednet_flat,20260203.0,True,complete,32,102.83,True,False
RQ2RQ3,RQ2RQ3__ednet_flat__seed2,ednet_flat,20260204.0,True,complete,32,104.16,True,False
RQ2RQ3,RQ2RQ3__junyi__seed0,junyi,20260202.0,True,complete,32,194.28,True,False
RQ2RQ3,RQ2RQ3__junyi__seed1,junyi,20260203.0,True,complete,32,193.57,True,False
RQ2RQ3,RQ2RQ3__junyi__seed2,junyi,20260204.0,True,complete,32,193.32,True,False
RQ4,RQ4__assistments_2021,assistments_2021,,True,complete,10,7.2,True,False
RQ4,RQ4__ednet_flat,ednet_flat,,True,complete,10,10.5,True,False
RQ4,RQ4__junyi,junyi,,True,complete,10,15.92,True,False
