dataset,seed,primary,horizon,comparator,advantage,ci_lo,ci_hi,sig
assistments_2021,20260202,True,d1,Control,0.0195191488554121,0.0167590296855844,0.0221555361612142,positive
assistments_2021,20260202,True,d7,Control,0.0210777410501012,0.0168043698657861,0.0252355402806056,positive
assistments_2021,20260202,True,d1,DKT-F,-0.0087097270332124,-0.0125455146197867,-0.0051289206890309,negative
assistments_2021,20260202,True,d7,DKT-F,-0.0092093396861292,-0.0155490657969319,-0.0026779118937515,negative
assistments_2021,20260203,False,d1,Control,0.0201847674394703,0.0174894113962571,0.0229277059309188,positive
assistments_2021,20260203,False,d7,Control,0.0140931302328906,0.0098061989798759,0.0185541495808628,positive
assistments_2021,20260203,False,d1,DKT-F,-0.0074923208511855,-0.0106539638860644,-0.0040205296252883,negative
assistments_2021,20260203,False,d7,DKT-F,-0.0084048144950628,-0.014507596259198,-0.0023039854290565,negative
assistments_2021,20260204,False,d1,Control,0.0150849257362795,0.012534147417154,0.017650051482263,positive
assistments_2021,20260204,False,d7,Control,0.0089909266685915,0.0046871136656095,0.013427587717638,positive
assistments_2021,20260204,False,d1,DKT-F,-0.0084619299237123,-0.0119244086428645,-0.0050854106355123,negative
assistments_2021,20260204,False,d7,DKT-F,-0.0022770256271311,-0.0087838485536533,0.0039636664026752,inconclusive (CI spans zero)
ednet_flat,20260202,True,d1,Control,0.0060991484762924,0.0010670015807869,0.0110403819679547,positive
ednet_flat,20260202,True,d7,Control,0.0089466297484411,0.0009426290935117,0.0172822519571556,positive
ednet_flat,20260202,True,d1,DKT-F,0.0044730462225622,-0.0011820014086273,0.0100430860151277,inconclusive (CI spans zero)
ednet_flat,20260202,True,d7,DKT-F,0.003375933826703,-0.0070987062716964,0.0132909626008685,inconclusive (CI spans zero)
ednet_flat,20260202,True,d1,DKVMN,-0.0082171917526857,-0.0136203924702993,-0.0024826787738427,negative
ednet_flat,20260202,True,d7,DKVMN,-0.0103668392963452,-0.0201057933707261,-0.0006329511651674,negative
ednet_flat,20260203,False,d1,Control,0.0059799488732312,0.0011662727473233,0.0107328474669598,positive
ednet_flat,20260203,False,d7,Control,0.0095670788939107,0.0007747622879122,0.0178327923072482,positive
ednet_flat,20260203,False,d1,DKT-F,0.0017536969406086,-0.0036679431922031,0.0075133116997412,inconclusive (CI spans zero)
ednet_flat,20260203,False,d7,DKT-F,0.0066846477485463,-0.0032164171309602,0.0164920217234445,inconclusive (CI spans zero)
ednet_flat,20260203,False,d1,DKVMN,-0.0093729409844014,-0.0154733524923129,-0.0036203610440316,negative
ednet_flat,20260203,False,d7,DKVMN,0.0046667157054863,-0.0065704342044204,0.0163147740283609,inconclusive (CI spans zero)
ednet_flat,20260204,False,d1,Control,0.0022127123860369,-0.0025120417120884,0.0067994694250314,inconclusive (CI spans zero)
ednet_flat,20260204,False,d7,Control,-0.0028293633532865,-0.0106931118425951,0.0051680486749214,inconclusive (CI spans zero)
ednet_flat,20260204,False,d1,DKT-F,-0.0021762962724927,-0.0075282720301162,0.0031252915756652,inconclusive (CI spans zero)
ednet_flat,20260204,False,d7,DKT-F,-0.0043186467165037,-0.0136543489459006,0.0047061937661842,inconclusive (CI spans zero)
ednet_flat,20260204,False,d1,DKVMN,-0.0121530323074201,-0.0181001793366729,-0.0061896875165191,negative
ednet_flat,20260204,False,d7,DKVMN,-0.0120645971569938,-0.0237966441423092,-0.0005877916329283,negative
junyi,20260202,True,d1,Control,0.0108786598612976,0.0082923610686248,0.0134251022358389,positive
junyi,20260202,True,d7,Control,0.0077272683932245,0.0037457337973134,0.0115653211337538,positive
junyi,20260202,True,d28,Control,0.0042232496556928,-0.0008952081557064,0.0095475048395565,inconclusive (CI spans zero)
junyi,20260202,True,d1,DKT-F,0.0034516545054172,-0.0013942299957401,0.0084510219646165,inconclusive (CI spans zero)
junyi,20260202,True,d7,DKT-F,0.0062001138761992,-0.0014726600051355,0.0138548755016182,inconclusive (CI spans zero)
junyi,20260202,True,d28,DKT-F,0.0125438582647759,0.0008692923038109,0.0238879001966222,positive
junyi,20260202,True,d1,DKVMN,-0.0064545502404252,-0.010049333013091,-0.0029980016555504,negative
junyi,20260202,True,d7,DKVMN,-0.0170954905655067,-0.0227337960896482,-0.0115678105880293,negative
junyi,20260202,True,d28,DKVMN,-0.0164694376828806,-0.0244709299477053,-0.0077052648508669,negative
junyi,20260203,False,d1,Control,0.0078114502924983,0.0055300815048879,0.0102333323933645,positive
junyi,20260203,False,d7,Control,0.0127082830264588,0.0090161568860987,0.0163060783103031,positive
junyi,20260203,False,d28,Control,0.009803038443362,0.0042171411925514,0.0151735110198415,positive
junyi,20260203,False,d1,DKT-F,0.0060505950464849,0.001491687827705,0.0104650864726601,positive
junyi,20260203,False,d7,DKT-F,0.007683032510379,2.981446885780837e-05,0.0151734219674056,positive
junyi,20260203,False,d28,DKT-F,0.002163537928888,-0.0090377142432871,0.0130229157325788,inconclusive (CI spans zero)
junyi,20260203,False,d1,DKVMN,-0.0085815591520314,-0.0121716307613757,-0.0049053879611896,negative
junyi,20260203,False,d7,DKVMN,-0.0115057934843605,-0.0173929631320254,-0.0057367308049488,negative
junyi,20260203,False,d28,DKVMN,-0.0161497763126545,-0.0245721721037345,-0.0075215455898653,negative
junyi,20260204,False,d1,Control,0.0071965251545118,0.0047293306925713,0.0094961140621342,positive
junyi,20260204,False,d7,Control,0.0098710264673786,0.0066523209935747,0.013194803631072,positive
junyi,20260204,False,d28,Control,0.0082770877791557,0.0031736394649695,0.0134650075819041,positive
junyi,20260204,False,d1,DKT-F,0.003281671409284,-0.0010247514892701,0.0079838428301079,inconclusive (CI spans zero)
junyi,20260204,False,d7,DKT-F,0.0049132757735689,-0.0021986640970173,0.0117528598454155,inconclusive (CI spans zero)
junyi,20260204,False,d28,DKT-F,0.0155309033250327,0.0050745746203779,0.0264467749684898,positive
junyi,20260204,False,d1,DKVMN,-0.0130395833012613,-0.0163411368890526,-0.009463928608417,negative
junyi,20260204,False,d7,DKVMN,-0.0099554229648947,-0.0149281444633338,-0.0049965538599383,negative
junyi,20260204,False,d28,DKVMN,-0.0113555425882219,-0.0192848870619278,-0.0033024135338235,negative
