kind,run_id,dataset,seed,present,status,files,minutes,isolation_ok,fixture
RQ1,RQ1__assistments_2021__seed0,assistments_2021,20260202.0,True,complete,12,0.39,True,False
RQ1,RQ1__assistments_2021__seed1,assistments_2021,20260203.0,True,complete,12,0.37,True,False
RQ1,RQ1__assistments_2021__seed2,assistments_2021,20260204.0,True,complete,12,0.37,True,False
RQ1,RQ1__ednet_flat__seed0,ednet_flat,20260202.0,True,complete,12,0.43,True,False
RQ1,RQ1__ednet_flat__seed1,ednet_flat,20260203.0,True,complete,12,0.45,True,False
RQ1,RQ1__ednet_flat__seed2,ednet_flat,20260204.0,True,complete,12,0.45,True,False
RQ1,RQ1__junyi__seed0,junyi,20260202.0,True,complete,12,1.1,True,False
RQ1,RQ1__junyi__seed1,junyi,20260203.0,True,complete,12,1.1,True,False
RQ1,RQ1__junyi__seed2,junyi,20260204.0,True,complete,12,1.08,True,False
RQ2RQ3,RQ2RQ3__assistments_2021__seed0,assistments_2021,20260202.0,True,complete,32,134.7,True,False
RQ2RQ3,RQ2RQ3__assistments_2021__seed1,assistments_2021,20260203.0,True,complete,32,133.56,True,False
RQ2RQ3,RQ2RQ3__assistments_2021__seed2,assistments_2021,20260204.0,True,complete,32,136.13,True,False
RQ2RQ3,RQ2RQ3__ednet_flat__seed0,ednet_flat,20260202.0,True,complete,32,148.93,True,False
RQ2RQ3,RQ2RQ3__ednet_flat__seed1,ednet_flat,20260203.0,True,complete,32,149.18,True,False
RQ2RQ3,RQ2RQ3__ednet_flat__seed2,ednet_flat,20260204.0,True,complete,32,154.68,True,False
RQ2RQ3,RQ2RQ3__junyi__seed0,junyi,20260202.0,True,complete,32,160.93,True,False
RQ2RQ3,RQ2RQ3__junyi__seed1,junyi,20260203.0,True,complete,32,160.67,True,False
RQ2RQ3,RQ2RQ3__junyi__seed2,junyi,20260204.0,True,complete,32,158.74,True,False
RQ4,RQ4__assistments_2021,assistments_2021,,True,complete,8,7.22,True,False
RQ4,RQ4__ednet_flat,ednet_flat,,True,complete,8,10.11,True,False
RQ4,RQ4__junyi,junyi,,True,complete,8,14.4,True,False
